Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
Lunar,Adaptive,Advanced,AdjacentBits,2e-05,0,35,0,20100000,539,539,539,0,1,75,6.58107
Mars,None,None,RandomMulti,5e-05,0,35,0,20100000,544,0,0,0,1,0,8.62411
Mars,None,Basic,RandomMulti,5e-05,0,35,0,20100000,1312,0,0,0,1,0,13.0764
Mars,None,Standard,RandomMulti,5e-05,0,35,0,20100000,1664,0,0,0,1,0,9.50852
Mars,None,Advanced,RandomMulti,5e-05,0,35,0,20100000,1376,0,0,0,1,0,10.1997
Mars,Minimal,None,RandomMulti,5e-05,0,35,0,20100000,1822,1822,1551,271,0.851262,10,27.7453
Mars,Minimal,Basic,RandomMulti,5e-05,0,35,0,20100000,951,951,938,13,0.98633,10,5.89085
Mars,Minimal,Standard,RandomMulti,5e-05,0,35,0,20100000,1088,1088,644,444,0.591912,10,6.67026
Mars,Minimal,Advanced,RandomMulti,5e-05,0,35,0,20100000,879,879,791,88,0.899886,10,6.29658
Mars,Moderate,None,RandomMulti,5e-05,0,35,0,20100000,491,491,401,90,0.816701,50,5.84409
Mars,Moderate,Basic,RandomMulti,5e-05,0,35,0,20100000,756,756,591,165,0.781746,50,5.78749
Mars,Moderate,Standard,RandomMulti,5e-05,0,35,0,20100000,1138,1138,1125,13,0.988576,50,5.29562
Mars,Moderate,Advanced,RandomMulti,5e-05,0,35,0,20100000,681,681,525,156,0.770925,50,5.28834
Mars,High,None,RandomMulti,5e-05,0,35,0,20100000,971,971,622,349,0.640577,100,6.35827
Mars,High,Basic,RandomMulti,5e-05,0,35,0,20100000,781,781,781,0,1,100,5.47749
Mars,High,Standard,RandomMulti,5e-05,0,35,0,20100000,908,908,634,274,0.698238,100,7.07612
Mars,High,Advanced,RandomMulti,5e-05,0,35,0,20100000,889,889,675,214,0.75928,100,5.76696
Mars,Very High,None,RandomMulti,5e-05,0,35,0,20100000,1288,1288,1288,0,1,200,10.4403
Mars,Very High,Basic,RandomMulti,5e-05,0,35,0,20100000,1246,1246,681,565,0.546549,200,5.67246
Mars,Very High,Standard,RandomMulti,5e-05,0,35,0,20100000,433,433,433,0,1,200,5.60514
Mars,Very High,Advanced,RandomMulti,5e-05,0,35,0,20100000,335,335,335,0,1,200,5.62384
Mars,Adaptive,None,RandomMulti,5e-05,0,35,0,20100000,255,255,143,112,0.560784,75,5.83633
